Theta,u0,Ruin Probability Approx2
0.01,0,[{psi(0): 0.990099009900990}]
0.01,16000,[{psi(16000): 0.980344419146587}]
0.01,32000,[{psi(32000): 0.970685931953377}]
0.01,48000,[{psi(48000): 0.961122601495943}]
0.01,64000,[{psi(64000): 0.951653490277119}]
0.01,80000,[{psi(80000): 0.942277670036089}]
0.1,0,[{psi(0): 0.909090909090909}]
0.1,16000,[{psi(16000): 0.830091560256602}]
0.1,32000,[{psi(32000): 0.757957198250164}]
0.1,48000,[{psi(48000): 0.692091260633522}]
0.1,64000,[{psi(64000): 0.631949025817163}]
0.1,80000,[{psi(80000): 0.577033108127529}]
0.5,0,[{psi(0): 0.666666666666667}]
0.5,16000,[{psi(16000): 0.477687540382526}]
0.5,32000,[{psi(32000): 0.342278079355061}]
0.5,48000,[{psi(48000): 0.245252960780962}]
0.5,64000,[{psi(64000): 0.175731425410485}]
0.5,80000,[{psi(80000): 0.125917068558375}]
0.9,0,[{psi(0): 0.526315789473684}]
0.9,16000,[{psi(16000): 0.327738876235658}]
0.9,32000,[{psi(32000): 0.204084264892803}]
0.9,48000,[{psi(48000): 0.127084060503360}]
0.9,64000,[{psi(64000): 0.0791357356359877}]
0.9,80000,[{psi(80000): 0.0492781284280993}]
1.0,0,[{psi(0): 1/2}]
1.0,16000,[{psi(16000): exp(-1/2)/2}]
1.0,32000,[{psi(32000): exp(-1)/2}]
1.0,48000,[{psi(48000): exp(-3/2)/2}]
1.0,64000,[{psi(64000): exp(-2)/2}]
1.0,80000,[{psi(80000): exp(-5/2)/2}]
2.0,0,[{psi(0): 1/3}]
2.0,16000,[{psi(16000): exp(-2/3)/3}]
2.0,32000,[{psi(32000): exp(-4/3)/3}]
2.0,48000,[{psi(48000): exp(-2)/3}]
2.0,64000,[{psi(64000): exp(-8/3)/3}]
2.0,80000,[{psi(80000): exp(-10/3)/3}]
